ticker,title,snapshot_time,yes_price
KXCABOUT-29-LM,Will Linda McMahon be the first person to leave the Trump Cabinet?,2026-01-15T07:55:39.551142,0.03
KXPRESNOMD-28-JS,Will Josh Shapiro be the nominee for the Presidency for the Democratic party?,2026-01-15T07:55:39.551142,0.07
KXCABOUT-29-TG,Will Tulsi Gabbard be the first person to leave the Trump Cabinet?,2026-01-15T07:55:39.551142,0.12
KXPRESNOMD-28-REMA,Will Rahm Emanuel be the nominee for the Presidency for the Democratic party?,2026-01-15T07:55:39.551142,0.05
KXLEADERSOUT-27JAN01-LSILBRA,"Will Luiz Inácio Lula da Silva leave President of Brazil before Jan 1, 2027?",2026-01-15T07:55:39.551142,0.15
KXPRESNOMD-28-JOSS,Will Jon Ossoff be the nominee for the Presidency for the Democratic party?,2026-01-15T07:55:39.551142,0.07
KXPRESNOMD-28-JSTE,Will Jon Stewart be the nominee for the Presidency for the Democratic party?,2026-01-15T07:55:39.551142,0.03
KXNFLPREPACK2ML-26JAN17SEASFDENBUFCHILANEHOU-SFHOU,"San Francisco wins against Seattle, Houston wins against New England",2026-01-15T07:55:39.551142,0.12
KXLEADERSOUT-27JAN01-VPUTRUS,"Will Vladimir Putin leave President of Russia before Jan 1, 2027?",2026-01-15T07:55:39.551142,0.15
KXNFLPREPACK2ML-26JAN17SEASFDENBUFCHILANEHOU-DENCHI,"Denver wins against Buffalo, Chicago wins against Los Angeles R",2026-01-15T07:55:39.551142,0.21
KXPRESNOMD-28-WM,Will Wes Moore be the nominee for the Presidency for the Democratic party?,2026-01-15T07:55:39.551142,0.04
KXLEADERSOUT-27JAN01-KJONDPRK,"Will Kim Jong Un leave Supreme Leader of North Korea before Jan 1, 2027?",2026-01-15T07:55:39.551142,0.09
KXNCAAFSPREAD-26JAN19MIAIND-IND17,Indiana wins by over 17.5 points?,2026-01-15T07:55:39.551142,0.34
KXLEADERSOUT-27JAN01-GPETCOL,"Will Gustavo Petro leave President of Colombia before Jan 1, 2027?",2026-01-15T07:55:39.551142,0.94
KXCABOUT-29-RFK,Will Robert F. Kennedy Jr. be the first person to leave the Trump Cabinet?,2026-01-15T07:55:39.551142,0.04
KXATPMATCH-26JAN14SHEBAE-BAE,Will Sebastian Baez win the Shelton vs Baez : Quarterfinal match?,2026-01-15T07:55:39.551142,0.52
KXFEDCHAIRNOM-29-KW,Will Trump next nominate Kevin Warsh as Fed Chair?,2026-01-15T07:55:39.551142,0.48
KXMARMAD-26-KU,Will Kansas win the College Basketball National Championship?,2026-01-15T07:55:39.551142,0.03
KXBTCD-26JAN1517-T99499.99,"Bitcoin price  on Jan 15, 2026?",2026-01-15T07:55:39.551142,0.04
KXCABOUT-29-PH,Will Pete Hegseth be the first person to leave the Trump Cabinet?,2026-01-15T07:55:39.551142,0.08
