ticker,title,status,yes_price_cents,no_price_cents,yes_probability,no_probability,close_time,outcome,category,subtitle
KXQUICKSETTLE-26JAN02H2300-3,Will 1+1 equal 3 on Jan 02 at 23:00?,active,70,0,0.7,,2026-01-03T04:00:00Z,,,
KXQUICKSETTLE-26JAN02H2300-2,Will 1+1 equal 2 on Jan 02 at 23:00?,active,70,0,0.7,,2026-01-03T04:00:00Z,,,
KXNCAAMBSPREAD-26JAN03PROVSJU-SJU8,St. John's wins by over 8.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03PROVSJU-SJU5,St. John's wins by over 5.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03PROVSJU-SJU26,St. John's wins by over 26.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03PROVSJU-SJU23,St. John's wins by over 23.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03PROVSJU-SJU20,St. John's wins by over 20.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03PROVSJU-SJU2,St. John's wins by over 2.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03PROVSJU-SJU17,St. John's wins by over 17.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03PROVSJU-SJU14,St. John's wins by over 14.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03PROVSJU-SJU11,St. John's wins by over 11.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03PROVSJU-PROV4,Providence wins by over 4.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03PROVSJU-PROV1,Providence wins by over 1.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03UKALA-UK7,Kentucky wins by over 7.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03UKALA-UK4,Kentucky wins by over 4.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03UKALA-UK10,Kentucky wins by over 10.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03UKALA-UK1,Kentucky wins by over 1.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03UKALA-ALA8,Alabama wins by over 8.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03UKALA-ALA5,Alabama wins by over 5.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03UKALA-ALA20,Alabama wins by over 20.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03UKALA-ALA2,Alabama wins by over 2.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03UKALA-ALA17,Alabama wins by over 17.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03UKALA-ALA14,Alabama wins by over 14.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03UKALA-ALA11,Alabama wins by over 11.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03VILLBUT-VILL7,Villanova wins by over 7.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03VILLBUT-VILL4,Villanova wins by over 4.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03VILLBUT-VILL16,Villanova wins by over 16.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03VILLBUT-VILL13,Villanova wins by over 13.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03VILLBUT-VILL10,Villanova wins by over 10.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03VILLBUT-VILL1,Villanova wins by over 1.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03VILLBUT-BUT8,Butler wins by over 8.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03VILLBUT-BUT5,Butler wins by over 5.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03VILLBUT-BUT2,Butler wins by over 2.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03VILLBUT-BUT14,Butler wins by over 14.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBSPREAD-26JAN03VILLBUT-BUT11,Butler wins by over 11.5 Points?,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03PROVSJU-184,Providence at St. John's: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03PROVSJU-181,Providence at St. John's: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03PROVSJU-178,Providence at St. John's: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03PROVSJU-175,Providence at St. John's: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03PROVSJU-172,Providence at St. John's: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03PROVSJU-169,Providence at St. John's: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03PROVSJU-166,Providence at St. John's: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03PROVSJU-163,Providence at St. John's: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03PROVSJU-160,Providence at St. John's: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03PROVSJU-157,Providence at St. John's: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03PROVSJU-154,Providence at St. John's: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03UKALA-186,Kentucky at Alabama: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03UKALA-183,Kentucky at Alabama: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03UKALA-180,Kentucky at Alabama: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03UKALA-177,Kentucky at Alabama: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
KXNCAAMBTOTAL-26JAN03UKALA-174,Kentucky at Alabama: Total Points,active,0,100,,1.0,2026-01-17T17:00:00Z,,,
